TimeDate,signal quality,attention,meditation,delta,theta,low alpha,high alpha,low beta,high beta,lowgamma,mid gamma
13:04:00 12-12-2024,0,27,50,9120,19091,3245,8399,8473,15083,9785,5458
13:04:01 12-12-2024,0,41,40,4911,5540,2533,2400,7451,12893,5394,3468
13:04:02 12-12-2024,0,74,27,3793,2858,3286,5779,26547,15403,20697,2850
13:04:03 12-12-2024,0,93,30,6137,11196,5722,4064,3155,6673,10817,1958
13:04:04 12-12-2024,0,84,35,5229,19096,1976,9963,4721,7139,4378,1984
13:04:05 12-12-2024,0,80,29,9304,13110,2610,1296,3898,12288,5983,2240
13:04:06 12-12-2024,0,69,37,3283,10195,3292,5116,6355,8634,5998,2442
13:04:07 12-12-2024,0,63,51,4327,5424,13019,7472,2044,4373,3492,2873
13:04:08 12-12-2024,0,77,53,18954,6192,793,7068,4941,10882,5879,5146
13:04:09 12-12-2024,0,60,67,70813,21776,9242,8430,8880,5412,6182,1647
13:04:10 12-12-2024,0,74,50,3988,8866,744,2556,8887,26880,19363,6449
13:04:11 12-12-2024,0,70,34,28988,64712,8079,24976,8558,13049,11352,2424
13:04:12 12-12-2024,0,56,26,1851594,125002,17919,15006,12917,29609,27539,34541
13:04:13 12-12-2024,0,48,35,134012,19448,16723,9684,2314,2954,2679,5115
13:04:14 12-12-2024,0,16,34,203066,29558,996,1173,5331,2749,3501,1393
13:04:15 12-12-2024,0,17,30,715676,145908,22824,40623,7403,29834,17590,14372
13:04:16 12-12-2024,0,3,41,1192949,436285,182924,37141,7112,30198,38799,38764
13:04:17 12-12-2024,0,11,24,19571,85881,14942,3669,5306,13530,12894,6907
13:04:18 12-12-2024,0,7,34,982892,362528,23680,33289,17556,20890,77145,9953
13:04:19 12-12-2024,0,7,20,541543,83600,8592,1913,2652,12416,23012,3991
13:04:20 12-12-2024,0,17,20,45608,42778,16251,12041,4651,10684,7438,4406
13:04:21 12-12-2024,0,37,21,2524,8055,1598,12665,27917,21542,11687,6984
13:04:22 12-12-2024,0,61,24,905,13868,2698,4049,9582,13562,6192,10355
13:04:23 12-12-2024,0,80,38,35579,16215,10813,11930,17490,33606,14775,6971
13:04:24 12-12-2024,0,100,26,572826,6826,4416,6697,18379,32266,9920,4018
13:04:25 12-12-2024,0,100,27,538,3637,2539,5372,9579,17041,15141,6121
13:04:26 12-12-2024,0,100,40,10548,15361,5565,12038,5420,12812,13259,10996
13:04:27 12-12-2024,0,100,34,8266,8476,4834,986,13214,9845,13165,5131
13:04:28 12-12-2024,0,80,53,7354,8165,27217,5857,14917,10150,7479,8828
13:04:29 12-12-2024,0,63,67,12511,7935,1761,20123,3410,8508,6694,2231
13:04:30 12-12-2024,0,64,75,33541,9039,6854,21009,6152,15592,5521,2366
13:04:31 12-12-2024,0,63,77,31089,13831,3561,4867,22505,11687,15757,9689
13:04:32 12-12-2024,0,66,61,4710,23732,4144,8067,7260,12746,8052,8289
13:04:33 12-12-2024,0,67,60,5403,4461,9434,13367,9072,9994,15585,4105
13:04:34 12-12-2024,0,77,51,9523,3335,3305,6576,9411,11897,5170,3076
13:04:35 12-12-2024,0,69,56,15491,18886,5938,4363,4483,8044,7845,2466
13:04:36 12-12-2024,0,66,56,29434,25505,13025,4400,24371,12276,6927,3441
13:04:37 12-12-2024,0,47,56,25012,66270,50364,34572,9401,7045,5824,1809
13:04:38 12-12-2024,0,38,60,9679,13170,7543,4971,4498,8231,5998,5106
13:04:39 12-12-2024,0,47,64,6861,6628,4116,5329,4675,10387,12933,6038
13:04:40 12-12-2024,0,41,69,6817,14953,9226,6857,12359,5590,4918,1969
13:04:41 12-12-2024,0,56,60,23584,24990,12679,3442,4704,8202,5711,10856
13:04:42 12-12-2024,0,66,54,4260,8364,4046,7835,4823,20558,9647,3224
13:04:43 12-12-2024,0,51,47,14808,49335,9637,6156,21952,8567,7224,4129
13:04:44 12-12-2024,0,54,43,43152,61798,12260,18786,11540,21501,18893,8137
13:04:45 12-12-2024,0,54,48,13741,43987,19108,27896,5365,17778,9145,9138
13:04:46 12-12-2024,0,34,48,10104,36744,14973,2124,12112,6717,9493,5198
13:04:47 12-12-2024,0,40,60,4384,18567,10745,7721,4857,10552,11687,4833
13:04:48 12-12-2024,0,53,54,3943,10649,3238,4268,4145,16023,5330,2635
13:04:49 12-12-2024,0,60,40,4145,15255,4453,628,5205,7150,8871,2319
13:04:50 12-12-2024,0,67,51,13387,7167,7543,14749,5524,8228,6309,4881
13:04:51 12-12-2024,0,63,63,468576,6553,36168,3777,13286,8170,6298,1489
13:04:52 12-12-2024,0,48,75,49624,32674,26250,13304,13646,14292,11655,2283
13:04:53 12-12-2024,0,40,87,24228,22015,12822,2393,2801,5756,4070,1565
13:04:54 12-12-2024,0,44,67,3360,5818,1265,2201,7799,4430,13653,1546
13:04:55 12-12-2024,0,54,43,1157,11637,2715,2095,8239,8916,11966,2591
13:04:56 12-12-2024,0,47,44,8781,45867,14180,26983,6632,7620,7970,1222
13:04:57 12-12-2024,0,43,43,11142,35296,12319,6214,8385,5410,6064,3892
13:04:58 12-12-2024,0,41,57,581,4400,455,9929,4283,6618,12818,5163
13:04:59 12-12-2024,0,44,67,11065,11269,5409,6682,3984,14851,5518,2546
13:05:00 12-12-2024,0,63,61,3425,6695,5268,4935,5389,11701,4311,1317
13:05:01 12-12-2024,0,70,66,3561,9263,3939,13875,12561,5962,17861,3976
13:05:02 12-12-2024,0,64,56,2055,21159,5968,5880,6081,7700,3514,3325
13:05:03 12-12-2024,0,56,53,15187,33072,11083,3445,7738,13108,13690,4247
13:05:04 12-12-2024,0,48,41,50735,34367,3147,4908,8321,11998,7088,6220
13:05:05 12-12-2024,0,56,44,17334,6899,7941,10810,3028,12066,26642,2668
13:05:06 12-12-2024,0,57,53,480119,10783,10065,4219,5840,7294,8288,5256
13:05:07 12-12-2024,0,56,63,1338,9041,1907,12509,7224,4925,5472,2551
13:05:08 12-12-2024,0,61,69,5132,7452,3549,1900,5545,6579,5564,4284
13:05:09 12-12-2024,0,69,60,8070,3080,4785,3124,6714,10720,5911,3226
13:05:10 12-12-2024,0,69,66,10916,15603,40187,11989,12261,21508,5482,3731
13:05:11 12-12-2024,0,80,54,2895,8114,2713,3400,3180,9775,10350,5166
13:05:12 12-12-2024,0,63,70,18192,7202,10196,10259,7699,2423,6947,1484
13:05:13 12-12-2024,0,53,66,22681,9460,4467,2014,6725,6612,1950,3826
13:05:14 12-12-2024,0,51,66,3309,6670,8857,16226,9475,8681,10243,2075
13:05:15 12-12-2024,0,44,70,8601,8867,1026,5797,2834,5960,5526,395
13:05:16 12-12-2024,0,63,61,4561,5328,2050,7121,4916,9556,7738,2471
13:05:17 12-12-2024,0,66,69,2953,3685,8763,4138,9633,9834,4048,8151
13:05:18 12-12-2024,0,74,61,1054,10000,6715,5753,3497,11154,10096,8789
13:05:19 12-12-2024,0,60,69,185830,29224,11775,21020,12562,5820,14135,3491
13:05:20 12-12-2024,0,54,78,29500,6663,2655,16509,3475,9531,4369,1366
13:05:21 12-12-2024,0,51,74,8206,9782,3591,9706,15021,9629,5031,2601
13:05:22 12-12-2024,0,44,64,23155,41044,10075,4744,9415,12866,3292,2558
13:05:23 12-12-2024,0,56,60,34899,24423,18354,4576,8986,13948,15383,2402
13:05:24 12-12-2024,0,50,50,11495,20388,2116,13806,11649,6904,11966,4205
13:05:25 12-12-2024,0,48,48,11756,10388,812,8373,12929,7182,11847,3313
13:05:26 12-12-2024,0,60,47,4521,7255,3609,1365,8687,8289,5762,3015
13:05:27 12-12-2024,0,43,57,26932,17818,38698,10844,13940,3639,9601,1897
13:05:28 12-12-2024,0,35,63,58212,58553,27634,14966,2222,7876,5005,1942
13:05:29 12-12-2024,0,29,56,44508,34527,3827,5326,4795,10209,5207,984
13:05:30 12-12-2024,0,26,60,3981,22196,2807,8642,2643,17343,4632,2826
13:05:31 12-12-2024,0,37,51,16185,24172,23485,5044,4155,8163,6156,2885
13:05:32 12-12-2024,0,43,43,40597,28562,6387,5414,6462,6291,6510,2881
13:05:33 12-12-2024,0,57,50,5929,5254,3352,2465,2696,11375,6111,2096
13:05:34 12-12-2024,0,48,61,11276,17383,6534,19025,5181,7514,3502,1960
13:05:35 12-12-2024,0,53,60,4438,8387,2381,9684,6148,5021,6411,1912
13:05:36 12-12-2024,0,50,61,5898,37402,6606,7865,4023,5990,3458,3288
13:05:37 12-12-2024,0,29,77,28157,11032,23749,6230,10648,5854,6411,1199
13:05:38 12-12-2024,0,29,56,16048,23315,3165,4142,20021,5326,4967,1880
13:05:40 12-12-2024,0,51,69,4624,4354,6373,3207,2400,14559,4037,9772
13:05:41 12-12-2024,0,56,53,33172,33289,4785,7082,5760,9870,6040,3523
13:05:42 12-12-2024,0,51,66,22479,35845,10746,14074,7961,6943,7840,2934
13:05:43 12-12-2024,0,50,67,9308,2149,23145,3281,9202,5637,4007,2907
13:05:44 12-12-2024,0,38,63,3570,7222,2988,3744,12846,4233,7478,3364
13:05:45 12-12-2024,0,50,60,1128,5812,4359,1776,14204,9191,6236,3070
13:05:46 12-12-2024,0,60,47,2896,10647,777,3112,11227,4976,3904,2910
13:05:47 12-12-2024,0,66,40,3775,4053,4188,4040,2529,4136,3643,3491
13:05:48 12-12-2024,0,63,48,17005,10663,7837,7349,9739,5856,11264,2421
13:05:49 12-12-2024,0,53,57,132933,11320,5755,3477,1999,6610,8135,5851
13:05:50 12-12-2024,0,53,63,16938,14427,1527,4197,4075,6243,9290,3084
13:05:51 12-12-2024,0,56,54,1838,9261,4636,6248,5853,11087,8395,1452
13:05:52 12-12-2024,0,57,51,5529,20733,8041,6811,5838,8674,13131,6416
13:05:53 12-12-2024,0,51,50,3495,27301,8783,8388,7270,6300,6210,1549
13:05:54 12-12-2024,0,53,64,10168,8129,8844,28159,21400,18476,6220,5742
13:05:55 12-12-2024,0,56,57,6916,6904,1499,8597,21888,13829,13037,2183
13:05:56 12-12-2024,0,63,50,2921,16044,6014,1622,10019,10887,17419,5786
13:05:57 12-12-2024,0,78,34,3725,8044,1600,2161,15100,9083,4664,2470
13:05:58 12-12-2024,0,69,30,44703,14123,15174,3559,8847,6068,15147,2022
13:05:59 12-12-2024,0,54,40,6666,17997,8887,8569,9908,6109,5308,3154
13:06:00 12-12-2024,0,57,38,5816,11060,1510,2671,5807,10430,3776,1561
13:06:01 12-12-2024,0,50,60,4490,7876,8537,15550,11973,9487,6353,3910
13:06:02 12-12-2024,0,53,64,2529,5432,2145,11705,2394,5061,4793,5281
13:06:03 12-12-2024,0,57,69,5295,6948,3855,14195,10923,7079,8230,2986
13:06:04 12-12-2024,0,44,81,7120,24255,13162,4159,9006,7251,6674,6351
13:06:05 12-12-2024,0,48,74,3757,19351,2442,11859,3270,14857,10143,1767
13:06:06 12-12-2024,0,53,56,1435,13714,4623,2494,1846,9116,5723,1016
13:06:07 12-12-2024,0,41,57,43787,30796,13094,18807,3333,5318,3176,2319
13:06:08 12-12-2024,0,35,66,31346,16017,12452,13992,5584,4379,3414,835
13:06:09 12-12-2024,0,34,74,40989,10557,10493,9864,8120,11221,9528,3992
13:06:10 12-12-2024,0,20,81,34702,28356,15308,6369,9296,5850,8272,5761
13:06:11 12-12-2024,0,41,77,3390,3885,5330,2670,3796,7263,10623,3644
13:06:12 12-12-2024,0,53,67,2696,4347,6456,3995,9275,5561,1764,3570
13:06:13 12-12-2024,0,41,50,47423,47708,1265,6381,4856,5962,20846,997
13:06:14 12-12-2024,0,63,37,14121,13850,2199,3453,8556,17819,10317,2144
13:06:15 12-12-2024,0,51,47,6138,3693,4751,15039,6705,4617,8482,1710
13:06:16 12-12-2024,0,43,34,7792,23353,3846,1842,5587,5042,5140,2487
13:06:17 12-12-2024,0,56,44,38402,13685,3402,4912,4427,7985,8000,3248
13:06:18 12-12-2024,0,41,53,11459,31202,10757,5353,8567,10576,6191,3486
13:06:19 12-12-2024,0,38,47,12258,14780,14325,1052,4937,4604,2536,5748
13:06:20 12-12-2024,0,50,53,22438,15415,1989,8440,11137,12414,11105,1473
13:06:21 12-12-2024,0,50,56,19284,11948,8216,4980,4492,8397,9060,4183
13:06:22 12-12-2024,0,48,54,8950,19612,3024,7007,6401,6586,7160,1418
13:06:23 12-12-2024,0,64,48,13616,9669,7121,3397,5499,15072,7367,5909
13:06:24 12-12-2024,0,60,48,969,14209,4517,3975,9734,6684,9945,3090
13:06:25 12-12-2024,0,66,48,2369,7051,6742,2256,2259,10760,4794,6602
13:06:26 12-12-2024,0,81,51,2701,5078,4269,5411,5222,13876,11796,3509
13:06:27 12-12-2024,0,90,38,2007,4842,1177,1252,5972,13509,10024,2261
13:06:28 12-12-2024,0,91,48,3347,3102,3403,10461,7096,6314,4325,3669
13:06:29 12-12-2024,0,88,48,4518,3888,2742,3627,5040,4882,8543,5035
13:06:30 12-12-2024,0,78,50,7705,9729,4748,7805,7689,7939,7633,4147
13:06:31 12-12-2024,0,64,56,11351,35525,2604,7739,4187,20200,5830,2143
13:06:32 12-12-2024,0,63,48,1596,13995,4153,6238,6073,7004,13177,3422
13:06:33 12-12-2024,0,64,43,3802,22472,3449,9351,2588,18841,9056,4418
13:06:34 12-12-2024,0,70,38,5183,11709,4191,5650,4086,15474,15225,8733
13:06:35 12-12-2024,0,61,54,48640,17284,20768,9584,9460,7024,6419,6605
13:06:36 12-12-2024,0,57,51,30449,29386,2567,12777,13916,10212,5644,1096
13:06:37 12-12-2024,0,54,51,45906,26378,13549,3467,9935,17069,8788,4605
13:06:38 12-12-2024,0,43,61,11344,11988,13408,3772,7368,7267,9381,5066
13:06:39 12-12-2024,0,41,61,52185,24391,28558,17806,25477,8410,14336,3784
13:06:40 12-12-2024,0,40,70,31819,10155,6693,5867,5294,4401,12991,2484
13:06:41 12-12-2024,0,43,80,28190,4135,6401,7336,4907,11036,8250,4032
13:06:42 12-12-2024,0,50,67,7431,15499,1593,5049,3259,8696,9818,10653
13:06:43 12-12-2024,0,69,60,16858,7756,14623,1976,12811,21701,4972,2398
13:06:44 12-12-2024,0,66,75,11793,7383,41751,4572,4344,8115,9694,11127
13:06:45 12-12-2024,0,56,74,8449,38889,20102,24651,5931,17992,8117,4864
13:06:46 12-12-2024,0,56,70,10716,31741,3792,9273,8075,19163,5324,2534
13:06:47 12-12-2024,0,38,77,32309,30516,19679,8072,6252,7829,3174,1154
13:06:48 12-12-2024,0,47,56,6225,11729,3170,4944,5172,6566,9725,3801
13:06:49 12-12-2024,0,38,44,214434,58302,4282,14320,17855,7540,6587,2492
13:06:50 12-12-2024,0,24,66,24895,13411,1386,25825,921,5059,11527,2737
13:06:51 12-12-2024,0,35,41,12354,19346,1712,996,8666,7537,5640,1440
13:06:52 12-12-2024,0,23,47,68742,49325,29879,6695,6273,8586,6425,7208
13:06:53 12-12-2024,0,24,54,15251,31417,5874,13539,6286,5500,6361,5410
13:06:54 12-12-2024,0,38,44,22376,11044,8676,8592,5908,12707,14381,2891
13:06:55 12-12-2024,0,40,60,24272,17394,9837,1889,12856,12985,11837,5341
13:06:56 12-12-2024,0,50,53,20440,14698,5790,5003,8514,7827,12522,3291
13:06:57 12-12-2024,0,77,50,9366,5388,2180,5363,1871,17271,7261,4084
13:06:58 12-12-2024,0,80,44,2817,7862,3649,9200,8079,15045,19165,2451
13:06:59 12-12-2024,0,81,51,4680,7697,4392,10579,11490,11438,14644,5019
13:07:00 12-12-2024,0,97,43,4212,9169,3843,1304,2866,20795,7923,2216
13:07:01 12-12-2024,0,77,51,31146,24661,16151,18304,17912,9530,14084,2584
13:07:02 12-12-2024,0,69,43,9907,18938,2278,4982,14662,8777,20157,6210
13:07:03 12-12-2024,0,61,43,5962,19313,7053,10892,4580,8682,11472,6429
13:07:04 12-12-2024,0,50,61,11707,10082,11447,6731,3439,12321,2623,3405
13:07:05 12-12-2024,0,56,53,39022,15836,5595,4154,2740,8714,5688,14607
13:07:06 12-12-2024,0,48,64,32756,57739,20244,14379,6311,12379,11349,2022
13:07:07 12-12-2024,0,48,63,99385,36206,21130,4831,4501,16192,2315,2143
13:07:08 12-12-2024,0,50,50,1593,10628,5338,1825,9325,9802,11390,5074
13:07:09 12-12-2024,0,48,53,19258,15658,6854,9152,8049,9214,11718,4258
13:07:10 12-12-2024,0,60,47,8199,11624,1751,4484,6243,8406,9146,7598
13:07:11 12-12-2024,0,64,44,20720,19650,8557,8818,10248,14173,9802,3926
13:07:12 12-12-2024,0,54,57,1571,13392,13021,10368,10845,7511,12924,4936
13:07:13 12-12-2024,0,56,50,42273,18297,3293,5121,9894,9332,11435,2488
13:07:14 12-12-2024,0,48,57,8312,13368,4078,8398,3722,5444,14531,4023
13:07:15 12-12-2024,0,47,57,58869,22043,13695,8821,15509,12551,7109,4059
13:07:16 12-12-2024,0,41,44,54714,55336,12770,2791,11750,8691,9442,1924
13:07:17 12-12-2024,0,23,47,17333,63086,15327,6581,3834,5115,6290,1200
13:07:18 12-12-2024,0,40,27,409592,7889,2334,2236,23580,12927,9990,4061
13:07:19 12-12-2024,0,44,35,13970,7954,9532,13290,6854,17668,5635,1979
13:07:20 12-12-2024,0,54,43,25022,13157,6513,4194,5017,7228,5732,4573
13:07:21 12-12-2024,0,66,47,29261,21386,10379,4977,7117,6641,4524,2944
13:07:22 12-12-2024,0,47,64,25900,32033,20031,10072,16848,8633,7496,4325
13:07:23 12-12-2024,0,34,56,375584,18766,6746,3696,4832,4800,11715,1038
13:07:24 12-12-2024,0,43,48,2702,4387,3014,703,8680,6346,6470,1339
13:07:25 12-12-2024,0,47,53,11925,19483,9567,13204,8859,11784,6010,6143
13:07:26 12-12-2024,0,50,48,3505,36600,12937,6088,7583,10440,7136,2414
13:07:27 12-12-2024,0,50,50,27231,19879,5901,9192,7095,6102,2496,4394
13:07:28 12-12-2024,0,43,63,22278,10487,8614,7391,4608,9950,3845,3427
13:07:29 12-12-2024,0,50,53,14341,12111,2452,4606,4987,10707,6962,4342
13:07:30 12-12-2024,0,51,53,31276,12087,7720,10000,31327,6655,12472,4614
13:07:31 12-12-2024,0,60,54,28692,10723,6376,7343,7190,9908,11962,6914
13:07:32 12-12-2024,0,60,60,2218,4397,11311,5089,5201,7514,3634,1761
13:07:33 12-12-2024,0,50,77,11589,7922,9647,8598,4641,4950,5951,1199
13:07:34 12-12-2024,0,50,66,8521,23808,6066,924,10926,7168,4210,4305
13:07:35 12-12-2024,0,41,47,7943,32223,572,2998,6330,6411,6545,1542
13:07:36 12-12-2024,0,40,35,9071,11247,4863,2984,5071,6341,8642,1720
13:07:37 12-12-2024,0,37,16,29658,34950,4887,3873,7886,5485,8018,2094
13:07:38 12-12-2024,0,29,23,43811,29587,7021,5333,4038,5504,3496,3600
13:07:39 12-12-2024,0,23,47,29461,31606,21544,3209,7958,5100,3453,514
13:07:40 12-12-2024,0,16,48,37122,56059,24472,6527,7188,13680,9032,3844
13:07:41 12-12-2024,0,23,67,3408,5185,12408,3862,3895,5427,6474,1775
13:07:42 12-12-2024,0,29,70,10823,19665,8788,5281,4292,8602,4093,1357
13:07:43 12-12-2024,0,48,69,7529,6494,9634,3466,5086,11834,5792,3584
13:07:44 12-12-2024,0,47,83,14352,17023,20052,12336,2781,6287,4403,4299
13:07:45 12-12-2024,0,43,88,6891,11471,33098,29267,8640,14273,5120,3040
13:07:46 12-12-2024,0,40,100,17154,8168,14255,14623,8441,6771,10524,8456
13:07:47 12-12-2024,0,17,96,59295,47786,19410,4054,9080,4861,6962,2586
13:07:48 12-12-2024,0,13,90,7458,33413,10460,19074,8716,4995,6139,4069
13:07:49 12-12-2024,0,16,56,31429,27272,1480,2508,4953,8478,9961,5466
13:07:50 12-12-2024,0,13,30,96550,18875,918,2612,2869,2353,1475,923
13:07:51 12-12-2024,0,27,41,5284,7800,11524,11517,8841,10842,6411,3134
13:07:52 12-12-2024,0,34,44,10129,21118,17252,9892,2623,5383,9096,1727
13:07:53 12-12-2024,0,44,53,5719,9753,3691,3489,11813,16166,4706,2986
13:07:54 12-12-2024,0,61,63,6199,12711,3781,6541,3861,13261,3994,6765
13:07:55 12-12-2024,0,53,54,22192,25908,10414,4735,2971,7022,10714,5295
13:07:56 12-12-2024,0,63,61,5904,2441,3160,24315,4778,9119,6293,2850
13:07:57 12-12-2024,0,54,74,4612,4630,2233,5013,5048,4415,7497,6643
13:07:58 12-12-2024,0,47,75,23362,23678,10585,4340,4332,8657,4976,4230
13:07:59 12-12-2024,0,43,84,10606,28586,41975,3005,2041,8448,6565,3279
13:08:00 12-12-2024,0,53,63,5815,12031,4262,3113,4550,15889,11823,2977
13:08:01 12-12-2024,0,53,57,17038,11262,5292,4044,9522,7489,5825,1638
13:08:02 12-12-2024,0,51,54,5333,13161,1156,6381,8330,4088,3143,3143
13:08:03 12-12-2024,0,61,47,17041,14571,7828,8905,8837,12180,4651,2422
13:08:04 12-12-2024,0,63,53,1789,3246,3050,3140,1736,8767,3979,6157
13:08:05 12-12-2024,0,60,47,5310,26175,6140,1366,3590,9999,7094,2626
13:08:06 12-12-2024,0,74,48,7845,8127,6094,2991,6399,12921,12596,3771
13:08:07 12-12-2024,0,70,38,5263,26137,3656,7360,12454,12110,7742,3938
13:08:08 12-12-2024,0,61,29,6844,22116,4152,5964,7063,10722,10240,4638
13:08:09 12-12-2024,0,61,44,16068,13050,10399,6392,3348,8223,9797,4541
13:08:10 12-12-2024,0,53,48,5851,8936,2351,6929,9379,5577,9629,2367
13:08:11 12-12-2024,0,60,57,6978,8393,9464,1343,4239,11027,5022,7222
13:08:12 12-12-2024,0,70,63,8750,5727,5030,7110,4347,19814,9022,2060
13:08:13 12-12-2024,0,78,44,11924,11411,2064,2917,6120,11768,15254,2720
13:08:14 12-12-2024,0,78,48,1362,9505,2007,8637,3583,5923,11686,7531
13:08:15 12-12-2024,0,67,54,1436,14008,4646,17274,5831,6671,6593,1177
13:08:16 12-12-2024,0,54,57,1238,7010,3843,9730,11655,6427,6960,1704
13:08:17 12-12-2024,0,54,67,2517,7100,5744,5323,10413,12197,6927,3330
13:08:18 12-12-2024,0,44,80,4966,12440,22282,9331,4934,4089,6417,1536
13:08:19 12-12-2024,0,61,61,7056,10723,4533,2093,9698,18954,9877,3606
13:08:20 12-12-2024,0,60,66,5482,14414,10987,16325,6505,10732,10967,2003
13:08:21 12-12-2024,0,48,74,3937,17547,12809,5775,4684,7389,10520,4831
13:08:22 12-12-2024,0,66,51,16093,14555,5640,4302,9100,13517,14541,4240
13:08:23 12-12-2024,0,54,67,7785,14718,7781,13315,5226,11295,12296,3975
13:08:24 12-12-2024,0,63,53,8194,11151,2064,4299,5262,11946,7913,12113
13:08:25 12-12-2024,0,60,43,43114,57315,12737,4267,4218,10606,4357,2464
13:08:26 12-12-2024,0,44,48,493245,54039,9639,19518,8186,10870,3727,3434
13:08:27 12-12-2024,0,38,34,59351,42608,7379,2601,6452,8328,8653,3254
13:08:28 12-12-2024,0,21,50,9305,16543,17408,29803,19966,8117,10416,4788
13:08:29 12-12-2024,0,43,61,2072,1092,8727,4844,3792,16410,16268,2513
